a1,a2,a3,a4,a5,a6,a7,a8,emotions
2.6934,3.25,3.5544,2.7947,3.7397,3.153,1.6923,1.3077,fear
2.6507,3.7832,2.6874,1.8412,2.5783,5.3437,1.7466,1.3877,fear
3.0,2.8071,2.7402,2.0913,2.8992,2.9483,2.0664,1.5739,fear
2.3343,2.1429,2.8713,2.4198,3.0248,3.4785,2.1837,1.2019,fear
3.289,4.5607,3.0632,2.0413,2.6738,3.1901,1.6253,1.5963,fear
2.683,2.0039,2.9661,2.4526,3.2346,4.3461,2.2295,1.3114,fear
2.5935,1.7144,2.8225,1.3806,2.7112,4.5338,2.1053,1.377,fear
2.2353,3.4,2.357,1.8626,2.6077,5.0596,1.6887,1.2353,fear
2.6783,2.1623,2.5418,1.6413,3.2585,3.2882,1.9144,1.5282,fear
2.5412,2.1429,2.7354,1.9798,2.1732,4.6667,1.8585,1.335,fear
2.8032,1.6565,2.8367,2.2746,2.0996,3.1623,2.1475,1.4016,fear
2.1662,5.7009,2.7515,1.844,2.7427,8.0156,1.6854,1.1649,fear
2.6477,2.7948,2.2524,1.6581,2.7299,4.25,1.9421,1.4718,fear
2.657,1.6494,3.2363,1.8813,2.183,3.9115,2.0,1.284,fear
2.5928,3.7483,3.0631,2.1795,2.364,4.7394,1.6302,1.2079,fear
2.8064,2.4715,3.6159,1.9317,2.0768,3.6461,1.8732,1.4032,fear
2.7605,2.6545,3.3067,2.0599,2.4868,3.1948,2.3053,1.3478,fear
2.5,3.2,3.363,2.3074,3.5089,3.75,1.8679,1.3764,fear
2.969,3.1901,3.0316,2.1144,2.4534,3.2016,1.828,1.5282,fear
3.0,3.1048,2.9699,1.7373,2.5863,3.0445,2.0972,1.5792,fear
2.7932,3.5089,3.296,1.9715,5.1128,6.2769,1.8579,1.3556,fear
2.683,4.0078,4.3333,2.1153,2.3076,2.6077,2.0722,1.2491,fear
2.5342,5.0,3.2707,2.0865,4.1731,3.7583,1.7308,1.2684,fear
3.1349,1.9849,3.2363,2.2107,1.8264,2.3616,2.6588,1.7099,fear
2.3737,2.6719,4.357,2.5212,2.5459,4.3333,2.0015,1.1245,fear
3.1894,2.6789,2.1514,1.8125,2.1622,2.9483,1.6683,1.6397,fear
2.8345,2.5495,3.6467,1.7468,2.2936,3.9108,1.877,1.4936,fear
3.2472,2.3717,2.5058,1.7578,2.9858,5.099,1.7759,1.6667,fear
2.2537,6.6483,5.8433,2.8644,2.4428,3.5518,1.8975,1.1504,fear
2.2537,6.6483,5.8433,2.8644,2.4428,3.5518,1.8975,1.1504,fear
2.4959,2.2902,6.3431,2.6476,1.4908,3.75,1.668,1.3114,fear
2.7305,3.7583,3.3997,2.6929,3.0514,3.1623,2.0722,1.337,fear
3.6014,0.9091,1.9869,1.8521,2.4695,4.111,1.8478,1.8,fear
2.7735,1.6044,2.2321,2.1192,2.1299,2.0248,2.1931,1.4385,fear
3.0215,2.6165,3.0267,1.8735,3.1273,2.6306,2.1625,1.6642,fear
2.4177,2.4715,2.4769,1.8245,2.5301,3.0067,1.8732,1.2708,fear
2.6162,3.5518,2.5062,3.012,2.9873,3.0265,2.3166,1.3815,fear
2.8211,2.2295,4.2087,2.9121,2.4048,6.229,1.8006,1.4453,fear
2.7222,7.5664,2.5584,2.0426,2.8316,3.1623,2.3887,1.4598,fear
3.0,3.638,4.4395,3.3242,3.022,4.0,1.876,1.4682,fear
3.0645,2.7526,2.4558,1.5556,2.1402,3.0067,1.9956,1.5674,fear
2.8235,1.7202,2.1757,1.7903,4.2197,3.25,2.0783,1.663,fear
3.1027,3.2988,2.8696,1.9373,2.6132,3.0445,1.8758,1.5871,fear
3.1595,1.6172,3.0142,2.1684,2.8916,3.2596,2.0835,1.6179,fear
2.558,2.0,3.0092,2.2804,2.6509,3.5355,1.8305,1.3333,fear
2.3343,1.8605,1.9972,2.1529,4.3652,3.0,2.3348,1.3333,fear
2.7507,3.2,2.4274,1.8235,2.4313,2.5495,2.3859,1.4375,fear
2.4593,3.6702,3.6598,3.5824,2.8445,2.2091,2.5607,1.2711,fear
3.0,4.0139,3.0207,2.4815,2.4571,1.8084,2.28,1.4971,fear
2.6497,2.4286,2.3176,1.7813,2.6719,3.2,2.2509,1.5339,fear
2.3986,3.7555,2.9699,2.0478,2.7282,4.4721,1.9471,1.3578,fear
2.7186,2.2535,4.5138,1.8362,1.6545,2.5,2.4676,1.4422,fear
2.4066,3.357,2.2746,1.9555,2.4484,5.0442,1.9175,1.2268,fear
2.2785,3.0,5.6284,1.8708,1.8614,3.2596,2.2255,1.168,fear
2.5907,3.6702,2.677,1.6999,2.9493,2.8071,2.1481,1.4553,fear
2.8597,4.3157,3.6492,2.5244,3.1842,3.0445,2.1939,1.5106,fear
2.3582,3.3955,3.4286,2.2567,2.4736,2.6,1.7692,1.2164,fear
3.7563,1.2936,3.5279,1.3171,1.8081,3.35,2.0896,1.6565,fear
2.3758,2.2627,2.0,1.5974,1.7002,3.25,2.0,1.125,fear
3.0906,2.0069,3.1269,1.9769,2.3583,3.2596,1.9189,1.5866,fear
3.1655,2.9205,4.9927,2.2591,2.4982,3.5089,1.6449,1.3391,fear
2.8835,4.717,2.9094,2.6085,2.5615,4.8374,1.646,1.5065,fear
2.7657,1.1417,3.4459,2.3409,1.8705,3.4726,2.2804,1.307,fear
3.3526,1.838,2.7902,2.5868,4.1711,3.8471,2.0811,1.7205,fear
2.2537,6.6483,5.8433,2.8644,2.4428,3.5518,1.8975,1.1504,fear
2.1462,1.5691,4.1631,1.746,2.1129,6.0208,1.8355,1.0031,fear
3.0156,2.1731,1.9003,1.5625,2.4705,5.7057,1.6451,1.6179,fear
2.1961,2.126,5.0,1.7579,1.9177,4.0,1.8333,1.0643,fear
2.4207,3.9392,3.141,1.864,3.3506,4.3323,1.7255,1.4682,fear
2.4125,5.6667,3.25,2.7631,3.1309,2.6077,2.1475,1.1765,fear
2.6229,4.0078,2.3282,2.0001,3.1429,3.0067,1.9956,1.3737,fear
2.3859,3.0046,5.0,2.0127,3.1309,3.153,2.2361,1.1649,fear
2.758,4.8374,2.3599,2.1834,2.6201,3.5355,1.8439,1.2438,fear
2.8036,2.1656,2.3841,2.9219,2.2245,2.9306,1.6323,1.2661,fear
2.3291,2.126,7.3333,1.6997,1.6765,3.3333,2.2,1.0643,fear
2.332,1.6704,5.5,2.2771,2.9027,3.2596,1.8407,1.1308,fear
3.4027,9.434,4.2794,2.317,3.1808,3.0594,2.1082,1.8129,fear
2.2288,2.5733,3.1326,1.7698,2.6548,4.7434,1.9336,1.2289,fear
3.0717,2.6077,2.8477,1.8715,2.1834,5.3333,1.7511,1.6125,fear
2.7158,1.5595,4.3333,2.1153,2.5134,2.7613,2.4461,1.3556,fear
3.049,3.9108,3.245,1.8303,2.991,5.3437,2.1912,1.6172,fear
2.4333,4.2048,5.0125,2.2395,2.7453,3.3397,2.2384,1.2878,fear
3.0588,8.5,3.0459,2.7895,2.4314,2.5,1.95,1.6471,fear
2.5574,2.1506,4.8156,1.7165,1.6248,2.8388,2.0805,1.3735,fear
2.858,3.5,2.9091,2.5684,3.3873,2.8,2.144,1.5731,fear
3.1655,1.7202,3.0495,2.5142,2.5142,4.0552,2.0616,1.4971,fear
3.0845,1.7143,2.295,1.7903,2.0954,3.0,2.25,1.6667,fear
3.3333,2.0,2.1499,1.5556,3.1111,3.0067,2.0621,1.9167,fear
3.0779,2.6,2.3452,2.1256,1.9621,5.0111,1.7972,1.5385,fear
2.3889,2.9592,3.4236,3.1624,6.45,5.0695,1.8713,1.2222,fear
2.0949,3.3044,2.7769,1.4992,2.9548,5.7057,1.9358,1.2478,fear
2.5687,2.8406,4.0915,2.7995,2.8962,3.0,2.3542,1.3477,fear
2.6675,6.7082,2.6166,2.5028,5.0055,4.0,1.875,1.4667,fear
2.9506,5.831,2.4146,2.3239,2.2316,3.6461,1.6749,1.4753,fear
2.6667,3.0,3.5,2.2892,2.2892,2.8,2.0714,1.4016,fear
2.807,2.2902,6.2426,3.1164,2.8331,3.2596,2.3022,1.3723,fear
2.8981,6.5765,2.4255,3.1623,3.2103,3.7583,1.6683,1.3014,fear
2.9442,3.0445,3.4936,2.1883,2.1177,3.8243,1.872,1.377,fear
3.1362,2.9417,3.2804,3.3712,2.6279,2.4,2.75,1.5333,fear
2.2526,1.8197,4.5277,2.0679,2.4509,3.5518,1.9396,1.2974,fear
2.7293,2.3016,2.5046,2.2562,3.7801,2.557,2.0765,1.359,fear
2.6855,2.6077,3.0207,1.8,1.6615,4.3333,1.7692,1.3038,fear
2.4125,2.4286,3.0,3.1066,3.0762,2.5495,2.3077,1.2941,fear
2.9235,3.2596,3.4169,2.1805,3.2211,2.9205,2.2438,1.4593,fear
3.0443,3.0,3.0152,2.6123,2.5652,2.4258,2.2199,1.4753,fear
3.2222,1.3038,3.3333,1.4629,2.1898,2.7456,2.144,1.6891,fear
2.8425,6.3246,2.4711,1.6847,2.9855,3.6461,2.0,1.7029,fear
2.7823,2.3393,3.1269,1.7996,1.9258,2.4083,2.2422,1.4267,fear
2.9246,2.7526,2.3333,1.7766,2.2469,3.2882,2.0542,1.4249,fear
2.7513,1.7143,2.1378,1.8634,2.7527,3.4928,2.1729,1.4167,fear
2.595,2.6306,4.5872,2.712,2.2144,3.2596,1.715,1.3125,fear
2.7803,3.43,3.6828,2.7601,4.3642,3.5355,1.8507,1.3509,fear
2.3333,3.6,2.8333,2.6938,2.3408,3.75,2.1333,1.3333,fear
2.9917,3.178,3.3625,1.2902,1.7569,2.2638,2.452,1.5221,fear
2.2909,5.6765,2.8284,1.7282,3.0087,6.7082,1.7346,1.1744,fear
2.8681,5.5227,3.4603,2.0,2.6667,4.1868,1.8107,1.3932,fear
2.7273,1.6704,5.9276,2.0335,1.7493,3.1623,1.9941,1.1992,fear
2.7371,2.9951,3.8845,2.6128,1.8931,3.7652,2.0623,1.2918,fear
3.2308,2.1667,1.9879,1.6993,2.4717,2.9417,2.0677,1.7692,fear
2.7143,2.8,2.5212,1.7887,2.7449,3.25,2.0,1.4286,fear
3.47,1.8158,2.1494,2.1951,3.2428,2.557,2.0835,1.8197,fear
2.2727,2.2,3.4646,1.456,1.9942,3.5301,2.0563,1.2735,fear
3.4874,2.9506,2.6818,1.77,3.4344,3.1901,2.2922,1.9066,fear
2.8318,3.5314,2.2691,2.2607,2.8924,3.7101,1.8081,1.4682,fear
2.6034,1.25,2.7693,1.6871,1.8955,2.4083,2.4927,1.335,fear
3.0665,4.669,2.6397,2.3055,2.6682,2.5321,1.8818,1.4869,fear
3.0069,2.1435,3.0414,3.2961,2.6914,3.0265,1.6534,1.3827,fear
2.486,3.0626,3.4564,1.782,2.7407,3.4726,2.0683,1.4272,fear
3.0104,2.2672,2.7684,1.957,1.8297,2.6874,2.1168,1.5023,fear
2.9694,1.7379,3.1741,1.562,3.6818,3.0,2.09,1.5704,fear
2.444,4.3012,2.9094,2.3092,3.2325,3.971,1.6601,1.3028,fear
2.1884,3.2,2.3022,2.598,2.2079,3.0,2.25,1.25,fear
2.9306,2.557,3.1942,2.0296,2.4449,2.4331,2.1514,1.4653,fear
2.765,3.8243,3.2125,2.4802,2.7186,2.557,2.3213,1.5163,fear
2.1173,2.1287,2.7833,1.4893,1.9722,4.6786,2.0063,1.1803,fear
2.3291,1.6601,3.1769,1.6325,2.7997,3.0,2.1683,1.2639,fear
3.7925,1.765,3.1711,3.3593,2.0818,2.2091,1.9206,1.6704,fear
2.5008,1.7778,2.6874,2.0127,3.0886,5.3333,1.8136,1.375,fear
2.8235,1.7202,2.1757,1.7903,4.2197,3.25,2.0783,1.663,fear
2.8339,18.0,3.1335,2.3191,6.0213,2.8333,2.1773,1.5565,fear
3.1981,1.4357,3.4654,1.5183,1.807,3.6818,1.9034,1.4072,fear
2.6357,4.9468,2.6997,2.1493,2.274,2.7293,2.1689,1.4839,fear
3.1768,3.8006,3.5862,2.7622,2.4286,2.8504,1.8081,1.3616,fear
2.8833,2.5495,2.469,1.9989,2.1748,4.3843,1.9144,1.4696,fear
3.0623,1.9884,2.2466,1.7686,1.9942,3.2062,2.1218,1.623,fear
3.0,3.153,2.7833,2.0863,2.479,3.5,1.8585,1.5404,fear
2.795,1.877,2.5714,1.9488,2.281,4.3461,2.3213,1.4018,fear
2.6477,3.4,2.8437,2.2978,2.459,4.0078,2.0585,1.4718,fear
3.521,1.9105,5.035,1.8745,1.615,4.0,1.8062,1.3699,fear
3.0497,2.5795,2.4711,1.5525,3.0817,3.4041,2.0,1.6795,fear
2.7083,2.3393,2.3333,2.0278,2.0139,2.9104,2.1667,1.4249,fear
2.8627,2.1372,3.1052,2.1928,2.5802,3.4041,1.8524,1.4615,fear
2.6369,3.8806,3.6356,2.0268,2.1234,3.0067,1.9967,1.2562,fear
3.1483,3.2596,2.7493,2.8178,2.3482,3.5089,2.0,1.5358,fear
2.8333,4.5,3.3416,2.3783,3.171,2.4328,2.2345,1.5565,fear
3.0059,1.4486,2.5125,2.0318,1.8935,4.7434,2.3343,1.5637,fear
2.8534,2.8071,3.0142,2.2225,3.7751,5.0111,1.7972,1.503,fear
2.1961,3.0067,3.4248,1.6863,2.1943,6.0,1.752,1.0643,fear
3.0046,2.4,3.1942,1.8771,1.8642,2.9104,2.0017,1.4191,fear
2.2422,5.6667,2.9204,2.7038,2.9319,6.5192,2.0722,1.2367,fear
3.2104,3.2463,2.7161,1.8724,3.0281,5.2559,1.5646,1.4142,fear
2.6823,3.8881,2.6311,4.2194,2.5965,3.6461,2.0632,1.4347,fear
3.894,3.0,3.349,2.9275,2.9275,3.4041,1.9355,1.625,fear
2.595,2.6306,4.5872,2.712,2.2144,3.2596,1.715,1.3125,fear
2.9306,2.557,3.1942,2.0296,2.4449,2.4331,2.1514,1.4653,fear
2.9321,3.5,3.7833,2.0278,2.0278,2.8071,2.2087,1.5714,fear
3.4415,1.8158,3.4198,1.9379,1.6527,3.2882,1.831,1.7226,fear
2.3854,2.0,3.0129,1.6817,2.5225,3.7268,1.8868,1.2104,fear
2.7158,3.4041,3.1769,2.2225,3.2789,3.5355,1.9209,1.4267,fear
3.6562,1.6172,4.6205,2.7322,1.6945,3.0185,1.9063,1.4753,fear
2.192,3.0414,5.9223,1.8604,2.3466,5.0,1.8012,1.0974,fear
2.8472,3.153,6.4075,1.6491,2.5034,3.5,1.8585,1.4615,fear
2.3455,3.8079,3.2263,2.3295,2.9466,3.2558,1.8192,1.1516,fear
3.3498,3.0067,2.96,3.1522,3.5236,3.0265,1.9923,1.477,fear
2.4105,2.8382,2.9447,2.3094,2.7441,3.1623,2.2295,1.1759,fear
3.6858,1.7759,2.4213,2.3087,2.0023,2.4254,1.9235,1.6711,fear
3.4004,4.0,2.3408,1.7701,2.8003,2.7316,2.0433,1.5752,fear
2.5982,4.0311,3.2849,2.0285,3.1,2.9155,2.4679,1.4936,fear
3.4874,4.0552,2.7895,2.0836,3.6833,3.0594,1.9502,1.838,fear
2.6438,1.7365,4.1693,1.8264,2.4355,3.4928,2.0823,1.2164,fear
2.5257,3.4059,3.4181,1.8004,2.6392,2.8,2.2868,1.3519,fear
2.5898,5.6765,3.7678,2.4399,2.6617,2.325,2.0555,1.2932,fear
2.9364,15.0,3.9156,3.358,2.7065,3.0067,2.1992,1.4063,fear
2.8498,3.1901,3.4654,3.217,2.5155,4.1231,1.715,1.2259,fear
2.5914,2.2333,2.6301,1.9537,2.707,2.8071,2.7111,1.347,fear
2.524,2.808,3.0302,1.6125,2.7653,4.7726,1.7278,1.2878,fear
2.8948,2.4749,3.7133,2.1805,2.0913,4.669,1.9746,1.4597,fear
2.3582,3.5,3.056,1.7379,3.9484,3.6667,2.4545,1.4286,fear
2.403,5.0111,6.5769,1.8484,1.8484,3.1623,1.8423,1.1992,fear
3.1945,2.0203,3.9096,2.3279,2.777,3.0067,1.9473,1.5,fear
2.4009,2.1213,3.2678,1.9455,2.3117,4.6667,1.7143,1.2667,fear
2.4959,4.5277,2.9051,1.8033,2.7661,2.6165,1.8738,1.3048,fear
2.525,2.9678,2.7064,1.5013,3.8275,5.0442,1.8037,1.3364,fear
2.5232,2.6069,2.9961,1.8919,2.3137,3.6461,2.1452,1.2651,fear
2.8151,1.9426,3.248,1.5299,2.0336,3.1623,2.2453,1.5,fear
2.4742,2.0982,2.2569,2.6406,2.8986,4.5069,1.7759,1.3158,fear
3.0437,2.6165,4.0606,4.2328,2.3941,2.9506,2.0,1.2939,fear
2.3826,6.7676,3.2529,1.8148,4.2346,4.7539,1.7346,1.3233,fear
2.8601,2.7735,5.5902,2.7803,2.0049,2.6306,2.0877,1.43,fear
3.421,2.4083,3.1269,2.6846,2.6113,2.9205,2.2484,1.5866,fear
4.0582,1.8744,2.8314,2.7461,1.8307,2.8636,1.8373,1.6871,fear
2.5,1.5284,4.2171,2.9701,3.32,4.3853,1.8804,1.185,fear
2.7281,2.1476,2.8,2.2746,2.0996,2.5495,2.2321,1.3985,fear
2.7507,5.0596,2.8333,1.8777,3.7272,3.0067,2.1296,1.5013,fear
2.8008,2.9417,2.5571,1.677,3.3802,3.75,2.0011,1.4682,fear
2.9891,2.2091,2.3414,3.0553,2.5195,2.75,2.28,1.5418,fear
2.6165,5.099,3.2635,2.4067,2.871,2.3393,2.1481,1.3083,fear
2.7152,2.3333,2.6065,2.638,2.6121,2.3333,1.9339,1.359,fear
3.2836,1.675,3.149,1.9045,2.7208,4.0,1.75,1.4959,fear
3.0232,4.4721,2.7943,1.7464,2.2608,3.5477,1.5919,1.562,fear
2.3529,2.8333,2.4274,1.9339,2.6809,5.6667,1.7069,1.2941,fear
2.3343,3.638,3.1052,2.4,3.8947,6.5,1.8462,1.2,fear
2.1232,4.0035,3.5631,1.8742,4.1649,7.6026,2.2949,1.208,fear
3.0917,1.1804,3.135,2.4213,2.3531,4.1231,1.9312,1.4753,fear
3.0514,2.9506,2.8304,2.0165,3.131,3.4041,1.8538,1.4819,fear
2.414,1.7523,3.9602,1.6237,2.7509,4.4045,2.0269,1.2333,fear
3.1954,3.7724,2.8034,1.9095,1.9373,2.6312,2.1667,1.5786,fear
2.5301,5.6667,4.0311,1.7545,3.0439,3.75,2.0667,1.3542,fear
2.9317,3.2016,2.7044,1.3789,2.2334,3.2016,1.9865,1.4931,fear
2.4383,4.0,2.5455,2.0204,3.1004,4.6667,2.1429,1.375,fear
2.5754,2.3016,2.1838,2.055,3.0317,4.0139,2.1608,1.359,fear
2.797,7.5166,3.5556,1.6131,1.9187,3.3397,1.88,1.5965,fear
2.7101,2.5725,3.0996,2.2655,3.0495,2.831,1.8314,1.5348,fear
3.4516,2.6306,2.8077,2.5223,2.1381,2.1623,2.3873,1.6253,fear
2.8527,2.1662,3.1616,2.323,1.814,2.0454,2.3561,1.4598,fear
3.1401,2.0,1.9256,1.5396,2.2336,4.5277,1.6793,1.6401,fear
3.5338,1.1319,2.4228,2.7951,1.8634,2.2091,1.9938,1.7704,fear
3.214,2.5,2.7954,1.5097,2.1969,3.7947,1.75,1.5,fear
2.3236,1.7177,3.363,1.7597,3.3492,3.5089,2.219,1.2797,fear
2.7333,5.0,4.0,4.8791,4.1821,2.4083,2.2422,1.2684,fear
3.4177,1.7143,2.1882,1.6274,2.8932,2.3393,1.9962,1.8333,fear
2.7402,3.6461,3.8695,2.3865,2.4029,2.7526,2.0711,1.3985,fear
2.9377,2.5795,2.804,1.7493,2.4258,3.43,1.8722,1.5507,fear
2.3074,2.5807,5.6284,1.6769,2.0556,3.7832,1.9869,1.2068,fear
2.6357,3.1623,2.361,1.8164,2.3088,2.9205,1.9387,1.3128,fear
2.8802,1.9884,4.371,2.3262,2.6953,4.1302,1.8791,1.4971,fear
3.0845,2.0,2.5141,1.8977,2.5652,3.5,1.7871,1.5023,fear
3.1804,2.2091,2.1869,2.7707,3.6943,3.0104,1.9119,1.5418,fear
2.5633,1.7778,3.2138,1.4458,1.6238,3.6667,2.7288,1.375,fear
2.6903,3.6125,3.5682,2.1627,2.8414,5.831,2.1269,1.329,fear
2.5342,2.5,3.5,4.5277,4.0908,5.0,1.668,1.2667,fear
2.5417,4.7539,4.4633,3.4222,4.5629,4.1231,2.0073,1.2708,fear
2.6315,2.0,3.087,2.5301,3.129,4.0552,2.1435,1.3509,fear
2.9963,3.0067,3.1612,1.6422,1.9707,4.2573,1.8873,1.5978,fear
2.2632,6.3333,3.5,2.4679,2.4343,3.0,2.0667,1.1053,fear
2.75,1.7375,3.1061,2.0285,2.1205,5.6569,1.7266,1.3252,fear
2.3614,1.715,2.9377,1.5461,2.0535,3.7014,2.2701,1.2,fear
2.7743,3.3354,3.163,2.2985,2.93,3.2882,1.7635,1.283,fear
3.1394,2.8844,2.9609,2.0262,2.6888,3.7724,2.1822,1.5,fear
3.2317,1.6125,3.6425,2.4715,2.4715,2.6077,2.3022,1.6941,fear
2.5417,3.0067,2.9341,1.4507,2.2983,3.4041,1.7869,1.2708,fear
3.4889,1.9796,2.1378,1.7975,2.7962,4.3333,2.0783,1.58,fear
2.9932,2.2091,3.6889,3.0414,1.7487,2.4734,1.8862,1.1908,fear
1.9511,2.3599,4.859,2.0995,5.9476,15.0,1.668,0.9986,fear
2.7223,3.4041,3.4677,2.0591,1.9044,3.7583,1.6749,1.432,fear
2.8503,1.625,2.1501,1.9639,2.1265,2.9205,2.0761,1.3868,fear
2.7281,5.0111,2.6465,1.9225,2.2502,4.2573,1.6442,1.3969,fear
2.9322,2.5495,3.047,1.8348,2.3144,3.5,1.9404,1.5404,fear
2.6231,1.4598,2.4479,1.524,1.8064,3.5355,2.2204,1.377,fear
2.3758,1.9846,3.2885,1.8628,2.6079,3.2596,2.1475,1.3125,fear
3.0089,3.25,2.677,2.3945,2.3945,2.9104,2.4224,1.6172,fear
2.2491,1.7812,2.3022,2.5767,2.5767,3.0104,2.1608,1.1868,fear
3.0688,3.2596,2.6299,2.0995,3.537,4.7434,1.668,1.4572,fear
2.5643,3.2062,3.0207,1.822,2.4577,5.0442,1.8609,1.1917,fear
2.7446,2.2672,5.6,2.2592,1.9532,3.0,2.4167,1.2476,fear
3.0009,2.0,2.2562,1.9381,2.4666,2.6077,2.153,1.5017,fear
2.3084,4.7762,4.8749,3.3282,2.5462,3.4234,1.884,1.2606,fear
2.5479,3.1623,3.1357,1.9316,2.5778,3.9108,2.055,1.252,fear
3.0923,6.5,2.9086,1.861,2.8979,3.7583,1.602,1.3931,fear
2.6847,4.75,2.5914,1.8014,3.222,2.9732,1.8557,1.4737,fear
2.2867,1.5572,3.483,1.8987,2.7546,5.3852,2.1213,1.2294,fear
2.6863,4.75,3.6014,2.3353,2.4882,2.1731,2.9912,1.4746,fear
2.7166,1.8916,4.0203,3.1736,2.6603,2.9205,2.5798,1.394,fear
2.4877,2.0156,3.6598,2.2064,2.407,2.5795,2.0752,1.2465,fear
2.3956,2.5055,3.2707,2.5971,2.3399,3.2596,1.9956,1.2656,fear
2.8249,2.3989,3.9151,2.3507,1.9034,3.0712,1.7794,1.4165,fear
2.6,1.6667,2.3452,2.2079,2.9438,2.1667,2.1538,1.335,fear
2.4105,2.9205,4.409,2.0139,2.7019,4.8088,2.1028,1.2219,fear
2.452,4.0,2.9782,2.0616,3.2596,5.3333,2.1884,1.301,fear
2.4182,1.6916,5.3346,2.0941,2.0739,2.6679,2.8313,1.2409,fear
2.1525,2.0025,4.5817,2.7745,4.0987,4.6786,2.2098,1.1497,fear
2.8425,6.3246,2.4711,1.6847,2.9855,3.6461,2.0,1.7029,fear
3.0,1.8439,2.8284,2.2187,1.792,2.4715,1.8071,1.5511,fear
2.3582,3.5,3.0207,1.8521,2.7782,3.25,1.8478,1.2877,fear
2.928,3.2059,3.7119,2.371,2.8551,3.1623,1.9357,1.3254,fear
2.4947,1.4036,3.6576,1.8393,1.7188,2.5,2.8018,1.4267,fear
2.7143,3.5,3.277,2.8186,3.4699,4.0,1.6875,1.5017,fear
2.6227,3.1623,3.2066,1.8112,2.1803,2.9132,2.004,1.419,fear
2.2862,4.2,3.9098,3.6534,3.2964,2.4286,2.0597,1.239,fear
2.4336,2.6719,6.3753,2.055,1.5504,3.638,1.6014,1.2491,fear
3.6112,1.3435,1.8715,2.028,2.4493,3.2056,1.7723,1.919,fear
2.2231,3.1279,3.5599,2.0625,2.8882,4.3461,2.3213,1.1149,fear
2.4982,5.3437,3.4342,1.7611,7.0445,5.0111,1.9956,1.3737,fear
2.9094,3.6461,2.6658,2.5738,3.643,2.9678,2.0,1.5429,fear
2.5907,3.1623,2.4317,1.8182,2.6453,4.2793,1.8344,1.5,fear
2.6546,1.5221,2.5369,1.3558,1.9997,4.8374,1.8081,1.2844,fear
2.9705,3.4928,2.4047,2.1458,3.0946,3.4928,2.0244,1.4738,fear
3.2177,1.6125,2.3833,1.3868,1.8022,3.0679,2.0,1.6641,fear
3.0509,3.9108,3.3856,2.8761,4.1523,3.5082,1.8252,1.4425,fear
1.914,2.4931,5.901,2.277,2.6062,3.6162,2.0073,1.0554,fear
2.7475,2.0039,3.5,2.5108,2.1305,3.0067,2.0632,1.3114,fear
2.9246,2.3393,4.0156,2.8467,3.5739,3.2596,2.2295,1.5691,fear
2.4733,1.7657,2.7575,2.1675,1.651,3.1623,2.5313,1.2069,fear
2.7964,2.7613,2.4479,3.6619,2.3277,2.3561,1.9145,1.2804,fear
2.8503,3.638,4.3952,2.0026,2.1821,3.7101,1.9709,1.5391,fear
3.0198,2.9483,4.0138,1.8605,2.466,3.1623,1.9855,1.5978,fear
2.5942,2.1086,2.1324,2.0854,2.2195,3.1279,1.6327,1.3542,fear
2.6079,1.6601,3.9666,2.1003,1.9161,4.111,2.0133,1.332,fear
2.9945,2.8828,2.9155,1.4466,3.6528,5.4037,1.9303,1.5792,fear
2.0686,2.7996,2.8713,1.9874,2.2747,3.8079,2.091,1.0716,fear
3.0433,3.0,2.4027,2.0937,2.526,2.4807,2.1506,1.6108,fear
2.5983,3.7832,2.9204,2.1498,4.244,3.4041,1.8742,1.4018,fear
2.64,2.7526,3.0207,3.1715,4.3588,3.5089,1.8524,1.2844,fear
2.7402,4.7539,2.9661,3.0944,3.4008,2.8284,2.1319,1.4695,fear
3.7545,1.5357,2.1187,2.156,1.958,2.7735,1.93,1.8089,fear
3.25,2.3534,4.0236,1.7736,1.7565,2.9104,2.2515,1.5855,fear
2.7203,3.2988,3.0129,1.8511,2.3415,3.5082,2.0,1.395,fear
2.8471,1.6298,2.5584,1.7003,2.9601,3.153,2.0059,1.5416,fear
3.0835,2.2091,3.0,1.7538,1.9132,3.0104,1.9119,1.5418,fear
3.2025,1.8084,3.1942,1.5152,1.647,3.4041,1.8038,1.6464,fear
2.6705,4.25,3.2275,1.9429,3.4809,3.4234,1.8148,1.4167,fear
2.2115,3.3218,2.7306,1.6626,2.1542,3.6578,2.1213,1.1753,fear
3.0631,3.2,3.4834,2.8057,2.8444,4.0078,2.0585,1.5,fear
2.8346,2.3534,2.6851,2.5711,2.1279,3.6667,2.3636,1.5023,fear
2.8508,3.5089,2.866,2.765,3.9587,3.0,1.7346,1.4249,fear
2.2131,3.1279,5.7804,2.5032,1.4982,2.6719,1.9347,1.21,fear
2.5942,4.25,3.7771,2.0618,2.0618,2.5795,2.2061,1.2955,fear
2.2745,2.75,7.7024,1.8558,2.2209,3.5089,2.6361,1.1364,fear
3.099,2.3937,3.9353,2.4463,2.5436,3.5795,2.1516,1.5662,fear
2.8378,1.4487,2.1371,1.7914,4.18,3.25,2.1538,1.6125,fear
3.467,6.3246,3.5534,3.4088,2.3066,3.0,2.2466,1.7103,fear
2.2114,3.5518,4.0203,1.7721,1.8736,3.5089,2.2844,1.2198,fear
2.754,1.3437,2.6509,2.073,2.0941,3.8243,1.9785,1.377,fear
2.6289,4.1445,3.0509,2.8519,3.9743,3.6056,1.9368,1.3151,fear
